name,address,city,state,zip,lat,long,ratings,# of people,open
Abbey Road,974 58th St N,Saint Petersburg,FL,33710,27.7815129,-82.7123591,3,9,1
Arby's,9597 4th St N,Saint Petersburg,FL,33702,27.8591073,-82.6381944,3,16,1
Barney's of St. Pete,10411 Gandy Blvd N,Saint Petersburg,FL,33702,27.866619,-82.631202,3,26,1
Black Coffee & Tasty Waffles,521 S Gulfview Blvd,Clearwater,FL,33767,27.96720193,-82.82789281,3,28,1
Boston Market,4001 E Bay Dr,Clearwater,FL,33764,27.91598579,-82.74527304,3,20,1
Burchard Galleries,2528 30th Ave N,Saint Petersburg,FL,33713,27.7988188,-82.6661058,3,13,1
Captain Crab,401 49th St S,Saint Petersburg,FL,33707,27.7671426,-82.7001074,3,5,1
Chili's,25987 US Hwy 19 N,Clearwater,FL,33763,28.00837175,-82.72987033,3,75,1
China 1,2014 34th St N,Saint Petersburg,FL,33713,27.790759,-82.6805128,3,19,1
China Crossings,10476 Roosevelt Blvd N,Saint Petersburg,FL,33716,27.8668095,-82.6454007,3,33,1
China Pearl,3313 Central Ave,Saint Petersburg,FL,33713,27.7715571,-82.678419,3,43,1
China99,1467 S Belcher Rd,Clearwater,FL,33764,27.9433219,-82.74550493,3,34,1
Cho Lon Oriental Market,"5944 34th St N, Ste 18",Saint Petersburg,FL,33714,27.826365,-82.679938,3,25,1
Circle K,3400 5th Ave N,Saint Petersburg,FL,33713,27.777005,-82.679403,3,12,1
Clearwater Country Club,525 N Betty Ln,Clearwater,FL,33755,27.971479,-82.781949,3,15,1
Dairy Queen Grill & Chill,3101 N 66th St,Saint Petersburg,FL,33710,27.80009368,-82.728034,3,14,1
Dunkin',580 Mandalay Ave,Clearwater,FL,33767,27.98524836,-82.82698746,3,6,1
Einstein Bros. Bagels,"5395 E Bay Dr, Ste 104",Clearwater,FL,33764,27.9155301,-82.7305076,3,29,1
Golf Galaxy,2753 Gulf To Bay Blvd,Clearwater,FL,33759,27.959756,-82.723815,3,10,1
Gyros & Seafood Express,1760 Dr Martin Luther King Jr St S,Saint Petersburg,FL,33701,27.752368,-82.64627,3,15,1
La Quinta Inn by Wyndham Clearwater Central,21338 US Hwy 19 North,Clearwater,FL,33765,27.966329,-82.7312029,3,35,1
Lil Net’s Home Style Cooking,1500 16th St S,Saint Petersburg,FL,33705,27.7550813,-82.6545559,3,5,1
Marco's Pizza,810 S Missouri Ave,Clearwater,FL,33756,27.95675,-82.78804,3,25,1
Marshalls,21323 US Hwy 19 N,Clearwater,FL,33765,27.96625203,-82.72825668,3,12,1
McDonald's,1500 S Belcher Rd,Clearwater,FL,33764,27.94177037,-82.74638108,3,22,1
Moe's Southwest Grill,2679 Gulf To Bay Blvd,Clearwater,FL,33759,27.95878808,-82.72678825,3,64,1
Mr. Joe's Off The Beach,5141 Seminole Blvd,Saint Petersburg,FL,33708,27.8191437,-82.7869484,3,5,1
New China,1678 S Missouri Ave,Clearwater,FL,33756,27.9357336,-82.7886316,3,13,1
Olive Garden Italian Restaurant,29461 US Hwy 19 N,Clearwater,FL,33761,28.03999147,-82.73750705,3,86,1
P.F. Chang's,"27001 US Highway 19 N, Ste 1150",Clearwater,FL,33761,28.01615571,-82.7345573,3,237,1
Party City,1960 Tyrone Blvd N,Saint Petersburg,FL,33710,27.78778942,-82.72556142,3,11,1
Philly's Famous Cheese Steaks,4375 E Bay Dr,Clearwater,FL,33764,27.91601,-82.7414677,3,77,1
Poblanos Mexican Grill & Bar,2451 N McMullen Booth Rd,Clearwater,FL,33759,28.01043348,-82.70988188,3,189,1
Reflections,400 Mandalay Ave,Clearwater Beach,FL,33767,27.9788772,-82.8279609,3,6,1
Sake House,"13505 Icot Blvd, Ste 207",Clearwater,FL,33760,27.89484,-82.713773,3,28,1
South Beach Tanning Company,5242 4th St N,Saint Petersburg,FL,33703,27.8198622,-82.6391652,3,27,1
Subway,3753 Ulmerton Rd,Clearwater,FL,33762,27.89451856,-82.6845208,3,9,1
Subway,"2451 Mcmullen Booth Rd, Ste 1",Clearwater,FL,33759,28.0104754,-82.7095503,3,5,1
Summerside Inn,1477 S Ft Harrison Ave,Clearwater,FL,33756,27.943217,-82.799562,3,21,1
Sunshine Nails,"4445 E Bay Dr, Ste 310",Clearwater,FL,33764,27.915499,-82.7410569,3,6,1
USF St. Petersburg Bookstore,"500 3rd St S, FPF 100",Saint Petersburg,FL,33701,27.7653613,-82.6366819,3,7,1
Wilson's Cocktail Lounges,3030 4th St N,Saint Petersburg,FL,33704,27.8000547,-82.6388381,3,21,1
Zein's Pizza Wings and Subs,2091 Highland Ave,Clearwater,FL,33756,27.99685302,-82.77535497,3,20,1
Aloha On the Beach,411 S Gulfview Blvd,Clearwater Beach,FL,33767,27.9708364,-82.8295391,3.5,7,1
Barefoot Beach House,332 S Gulfview Blvd,Clearwater,FL,33767,27.972399,-82.82998,3.5,41,1
Bob Evans,2183 Gulf To Bay Blvd,Clearwater,FL,33765,27.95963164,-82.74656922,3.5,47,1
Bob Heilman's Beachcomber Restaurant,447 Mandalay Ave,Clearwater Beach,FL,33767,27.9801452,-82.8268245,3.5,429,1
Brightwater Suites On Clearwater Beach,342 S Hamden Dr,Clearwater,FL,33767,27.9717644,-82.8280661,3.5,20,1
Burger Monger,2454 McMullen Booth Rd,Clearwater,FL,33759,28.01166425,-82.70794876,3.5,155,1
BurgerIm,"2561 Countryside Blvd, Ste 4",Clearwater,FL,33761,28.01309242,-82.73232364,3.5,30,1
Capogna's Dugout,1653 Gulf To Bay Blvd,Clearwater,FL,33755,27.9595987,-82.7686445,3.5,95,1
Carrabba's Italian Grill,2680 Gulf To Bay Blvd,Clearwater,FL,33759,27.9611367,-82.7266638,3.5,164,1
Cheddar's Scratch Kitchen,2655 Roosevelt Blvd,Clearwater,FL,33760,27.915771,-82.7274858,3.5,186,1
Cheesesteak Company,11270 4th St N,Saint Petersburg,FL,33716,27.874373,-82.6402203,3.5,14,1
Chick-fil-A,4241 4th St N,Saint Petersburg,FL,33703,27.810916,-82.638182,3.5,84,1
China 1,1875 N Highland Ave,Clearwater,FL,33755,27.9879293,-82.7749766,3.5,25,1
China Wok,3433 49th St N,Saint Petersburg,FL,33710,27.803417,-82.699448,3.5,21,1
China Wok,5055 34th St S,Saint Petersburg,FL,33711,27.721666,-82.6807564,3.5,77,1
Clearwater Bagels,1871 Gulf To Bay Blvd,Clearwater,FL,33765,27.9603225,-82.7598496,3.5,122,1
Clearwater Beach Marriott Suites on Sand Key,1201 Gulf Boulevard,Clearwater Beach,FL,33767,27.95336154,-82.82825589,3.5,170,1
Cool Vibes Bar & Grill,5488 58th St N,Saint Petersburg,FL,33709,27.8220898,-82.7125822,3.5,11,1
Courigan's Irish Pub,"1 Beach Dr SE, Ste 41",Saint Petersburg,FL,33701,27.7708192,-82.6335305,3.5,70,1
Crab Shack Restaurant,11400 Gandy Blvd N,Saint Petersburg,FL,33702,27.8697602,-82.6162438,3.5,345,1
Crabby's Bar & Grill,333 S Gulfview Blvd,Clearwater Beach,FL,33767,27.97210338,-82.82927039,3.5,662,1
Cracker Barrel Old Country Store,2151 54th Ave N,Saint Petersburg,FL,33714,27.8217731,-82.6626549,3.5,104,1
Cuban Mexican Restaurant,4016 Ulmerton Rd,Clearwater,FL,33762,27.89318,-82.688496,3.5,43,1
Culver's,2008 Gulf To Bay Blvd,Clearwater,FL,33765,27.96100044,-82.7542038,3.5,65,1
Dairy Inn,1201 Dr Martin Luther King Jr St N,Saint Petersburg,FL,33701,27.784012,-82.6465085,3.5,97,1
Ferg's Sports Bar & Grill,1320 Central Ave,Saint Petersburg,FL,33705,27.770871,-82.652212,3.5,346,1
Fresh Bowl Grill,2657 Ulmerton Rd,Clearwater,FL,33762,27.89456635,-82.66931106,3.5,7,1
Gorditas Don Huicho,2071 Drew St,Clearwater,FL,33765,27.9674825,-82.7516337,3.5,69,1
Ha Long Bay,5944 34th St N,Saint Petersburg,FL,33714,27.82757009,-82.67993913,3.5,292,1
Habibi Lounge,400 34th St N,Saint Petersburg,FL,33713,27.77573262,-82.67968103,3.5,8,1
Honey Baked Ham Company,23310 US Hwy 19 N,Clearwater,FL,33765,27.9849066,-82.7304573,3.5,14,1
Hong Kong City,2198 NE Coachman Rd,Clearwater,FL,33765,27.9724802,-82.74669,3.5,27,1
Hong Kong Restaurant,1077 62nd Ave S,Saint Petersburg,FL,33705,27.7129149,-82.649,3.5,9,1
Hooks Sushi Bar & Thai Food,1210 9th St N,Saint Petersburg,FL,33705,27.7837466,-82.6468773,3.5,254,1
Island Way Grill,20 Island Way,Clearwater,FL,33767,27.9762783,-82.817396,3.5,737,1
Jason's Deli,"25801 US Highway 19 N, Ste 110",Clearwater,FL,33763,28.0064542,-82.7286541,3.5,104,1
Johnny's Italian Restaurant,"2907 State Road 590, Ste 1",Clearwater,FL,33759,27.9822,-82.7167155,3.5,218,1
Kilwins Clearwater Beach,391 Mandalay Ave,Clearwater,FL,33767,27.9782439,-82.8271612,3.5,77,1
Krispy Krab Clearwater ,1423 Betty Ln N,Clearwater,FL,33755,27.91830146,-82.74642268,3.5,66,1
LongHorn Steakhouse,2400 Tyrone Blvd N,Saint Petersburg,FL,33710,27.79332418,-82.73034294,3.5,62,1
Luekens Wine & Spirits,23025 US 19 N,Clearwater,FL,33759,27.98303045,-82.72910459,3.5,28,1
Mainstay Tavern,1160 Gulf Blvd,Clearwater,FL,33767,27.95556916,-82.8287486,3.5,14,1
Marble Slab Creamery,"27001 U S 19 N, Ste 2070",Clearwater,FL,33761,28.017071,-82.734628,3.5,9,1
Mastry's Bait & Tackle,1700 4th St S,Saint Petersburg,FL,33701,27.753527,-82.6383105,3.5,6,1
Nepa Hut Beach Bar,6800 Sunshine Skyway Ln S,Saint Petersburg,FL,33711,27.705824,-82.677677,3.5,27,1
Panera Bread,"2679 Gulf To Bay Blvd, Ste 530",Clearwater,FL,33759,27.95882688,-82.72650867,3.5,48,1
Peltz Shoes,7121 22nd Ave N,Saint Petersburg,FL,33710,27.7924387,-82.7373693,3.5,29,1
